"","Sex","Age","Fare","Survived","sex","sex_fare"
"1","male",22,7.25,0,1,7.25
"2","female",38,71.2833,1,0,0
"3","female",26,7.925,1,0,0
"4","female",35,53.1,1,0,0
"5","male",35,8.05,0,1,8.05
"7","male",54,51.8625,0,1,51.8625
"8","male",2,21.075,0,1,21.075
"9","female",27,11.1333,1,0,0
"10","female",14,30.0708,1,0,0
"11","female",4,16.7,1,0,0
"12","female",58,26.55,1,0,0
"13","male",20,8.05,0,1,8.05
"14","male",39,31.275,0,1,31.275
"15","female",14,7.8542,0,0,0
"16","female",55,16,1,0,0
"17","male",2,29.125,0,1,29.125
"19","female",31,18,0,0,0
"21","male",35,26,0,1,26
"22","male",34,13,1,1,13
"23","female",15,8.0292,1,0,0
"24","male",28,35.5,1,1,35.5
"25","female",8,21.075,0,0,0
"26","female",38,31.3875,1,0,0
"28","male",19,263,0,1,263
"31","male",40,27.7208,0,1,27.7208
"34","male",66,10.5,0,1,10.5
"35","male",28,82.1708,0,1,82.1708
"36","male",42,52,0,1,52
"38","male",21,8.05,0,1,8.05
"39","female",18,18,0,0,0
"40","female",14,11.2417,1,0,0
"41","female",40,9.475,0,0,0
"42","female",27,21,0,0,0
"44","female",3,41.5792,1,0,0
"45","female",19,7.8792,1,0,0
"50","female",18,17.8,0,0,0
"51","male",7,39.6875,0,1,39.6875
"52","male",21,7.8,0,1,7.8
"53","female",49,76.7292,1,0,0
"54","female",29,26,1,0,0
"55","male",65,61.9792,0,1,61.9792
"57","female",21,10.5,1,0,0
"58","male",28.5,7.2292,0,1,7.2292
"59","female",5,27.75,1,0,0
"60","male",11,46.9,0,1,46.9
"61","male",22,7.2292,0,1,7.2292
"62","female",38,80,1,0,0
"63","male",45,83.475,0,1,83.475
"64","male",4,27.9,0,1,27.9
"67","female",29,10.5,1,0,0
"68","male",19,8.1583,0,1,8.1583
"69","female",17,7.925,1,0,0
"70","male",26,8.6625,0,1,8.6625
"71","male",32,10.5,0,1,10.5
"72","female",16,46.9,0,0,0
"73","male",21,73.5,0,1,73.5
"74","male",26,14.4542,0,1,14.4542
"75","male",32,56.4958,1,1,56.4958
"76","male",25,7.65,0,1,7.65
"79","male",0.83,29,1,1,29
"80","female",30,12.475,1,0,0
"81","male",22,9,0,1,9
"82","male",29,9.5,1,1,9.5
"84","male",28,47.1,0,1,47.1
"85","female",17,10.5,1,0,0
"86","female",33,15.85,1,0,0
"87","male",16,34.375,0,1,34.375
"89","female",23,263,1,0,0
"90","male",24,8.05,0,1,8.05
"91","male",29,8.05,0,1,8.05
"92","male",20,7.8542,0,1,7.8542
"93","male",46,61.175,0,1,61.175
"94","male",26,20.575,0,1,20.575
"95","male",59,7.25,0,1,7.25
"97","male",71,34.6542,0,1,34.6542
"98","male",23,63.3583,1,1,63.3583
"99","female",34,23,1,0,0
"100","male",34,26,0,1,26
"101","female",28,7.8958,0,0,0
"103","male",21,77.2875,0,1,77.2875
"104","male",33,8.6542,0,1,8.6542
"105","male",37,7.925,0,1,7.925
"106","male",28,7.8958,0,1,7.8958
"107","female",21,7.65,1,0,0
"109","male",38,7.8958,0,1,7.8958
"111","male",47,52,0,1,52
"112","female",14.5,14.4542,0,0,0
"113","male",22,8.05,0,1,8.05
"114","female",20,9.825,0,0,0
"115","female",17,14.4583,0,0,0
"116","male",21,7.925,0,1,7.925
"117","male",70.5,7.75,0,1,7.75
"118","male",29,21,0,1,21
"119","male",24,247.5208,0,1,247.5208
"120","female",2,31.275,0,0,0
"121","male",21,73.5,0,1,73.5
"123","male",32.5,30.0708,0,1,30.0708
"124","female",32.5,13,1,0,0
"125","male",54,77.2875,0,1,77.2875
"126","male",12,11.2417,1,1,11.2417
"128","male",24,7.1417,1,1,7.1417
"130","male",45,6.975,0,1,6.975
"131","male",33,7.8958,0,1,7.8958
"132","male",20,7.05,0,1,7.05
"133","female",47,14.5,0,0,0
"134","female",29,26,1,0,0
"135","male",25,13,0,1,13
"136","male",23,15.0458,0,1,15.0458
"137","female",19,26.2833,1,0,0
"138","male",37,53.1,0,1,53.1
"139","male",16,9.2167,0,1,9.2167
"140","male",24,79.2,0,1,79.2
"142","female",22,7.75,1,0,0
"143","female",24,15.85,1,0,0
"144","male",19,6.75,0,1,6.75
"145","male",18,11.5,0,1,11.5
"146","male",19,36.75,0,1,36.75
"147","male",27,7.7958,1,1,7.7958
"148","female",9,34.375,0,0,0
"149","male",36.5,26,0,1,26
"150","male",42,13,0,1,13
"151","male",51,12.525,0,1,12.525
"152","female",22,66.6,1,0,0
"153","male",55.5,8.05,0,1,8.05
"154","male",40.5,14.5,0,1,14.5
"156","male",51,61.3792,0,1,61.3792
"157","female",16,7.7333,1,0,0
"158","male",30,8.05,0,1,8.05
"161","male",44,16.1,0,1,16.1
"162","female",40,15.75,1,0,0
"163","male",26,7.775,0,1,7.775
"164","male",17,8.6625,0,1,8.6625
"165","male",1,39.6875,0,1,39.6875
"166","male",9,20.525,1,1,20.525
"168","female",45,27.9,0,0,0
"170","male",28,56.4958,0,1,56.4958
"171","male",61,33.5,0,1,33.5
"172","male",4,29.125,0,1,29.125
"173","female",1,11.1333,1,0,0
"174","male",21,7.925,0,1,7.925
"175","male",56,30.6958,0,1,30.6958
"176","male",18,7.8542,0,1,7.8542
"178","female",50,28.7125,0,0,0
"179","male",30,13,0,1,13
"180","male",36,0,0,1,0
"183","male",9,31.3875,0,1,31.3875
"184","male",1,39,1,1,39
"185","female",4,22.025,1,0,0
"188","male",45,26.55,1,1,26.55
"189","male",40,15.5,0,1,15.5
"190","male",36,7.8958,0,1,7.8958
"191","female",32,13,1,0,0
"192","male",19,13,0,1,13
"193","female",19,7.8542,1,0,0
"194","male",3,26,1,1,26
"195","female",44,27.7208,1,0,0
"196","female",58,146.5208,1,0,0
"198","male",42,8.4042,0,1,8.4042
"200","female",24,13,0,0,0
"201","male",28,9.5,0,1,9.5
"203","male",34,6.4958,0,1,6.4958
"204","male",45.5,7.225,0,1,7.225
"205","male",18,8.05,1,1,8.05
"206","female",2,10.4625,0,0,0
"207","male",32,15.85,0,1,15.85
"208","male",26,18.7875,1,1,18.7875
"209","female",16,7.75,1,0,0
"210","male",40,31,1,1,31
"211","male",24,7.05,0,1,7.05
"212","female",35,21,1,0,0
"213","male",22,7.25,0,1,7.25
"214","male",30,13,0,1,13
"216","female",31,113.275,1,0,0
"217","female",27,7.925,1,0,0
"218","male",42,27,0,1,27
"219","female",32,76.2917,1,0,0
"220","male",30,10.5,0,1,10.5
"221","male",16,8.05,1,1,8.05
"222","male",27,13,0,1,13
"223","male",51,8.05,0,1,8.05
"225","male",38,90,1,1,90
"226","male",22,9.35,0,1,9.35
"227","male",19,10.5,1,1,10.5
"228","male",20.5,7.25,0,1,7.25
"229","male",18,13,0,1,13
"231","female",35,83.475,1,0,0
"232","male",29,7.775,0,1,7.775
"233","male",59,13.5,0,1,13.5
"234","female",5,31.3875,1,0,0
"235","male",24,10.5,0,1,10.5
"237","male",44,26,0,1,26
"238","female",8,26.25,1,0,0
"239","male",19,10.5,0,1,10.5
"240","male",33,12.275,0,1,12.275
"243","male",29,10.5,0,1,10.5
"244","male",22,7.125,0,1,7.125
"245","male",30,7.225,0,1,7.225
"246","male",44,90,0,1,90
"247","female",25,7.775,0,0,0
"248","female",24,14.5,1,0,0
"249","male",37,52.5542,1,1,52.5542
"250","male",54,26,0,1,26
"252","female",29,10.4625,0,0,0
"253","male",62,26.55,0,1,26.55
"254","male",30,16.1,0,1,16.1
"255","female",41,20.2125,0,0,0
"256","female",29,15.2458,1,0,0
"258","female",30,86.5,1,0,0
"259","female",35,512.3292,1,0,0
"260","female",50,26,1,0,0
"262","male",3,31.3875,1,1,31.3875
"263","male",52,79.65,0,1,79.65
"264","male",40,0,0,1,0
"266","male",36,10.5,0,1,10.5
"267","male",16,39.6875,0,1,39.6875
"268","male",25,7.775,1,1,7.775
"269","female",58,153.4625,1,0,0
"270","female",35,135.6333,1,0,0
"272","male",25,0,1,1,0
"273","female",41,19.5,1,0,0
"274","male",37,29.7,0,1,29.7
"276","female",63,77.9583,1,0,0
"277","female",45,7.75,0,0,0
"279","male",7,29.125,0,1,29.125
"280","female",35,20.25,1,0,0
"281","male",65,7.75,0,1,7.75
"282","male",28,7.8542,0,1,7.8542
"283","male",16,9.5,0,1,9.5
"284","male",19,8.05,1,1,8.05
"286","male",33,8.6625,0,1,8.6625
"287","male",30,9.5,1,1,9.5
"288","male",22,7.8958,0,1,7.8958
"289","male",42,13,1,1,13
"290","female",22,7.75,1,0,0
"291","female",26,78.85,1,0,0
"292","female",19,91.0792,1,0,0
"293","male",36,12.875,0,1,12.875
"294","female",24,8.85,0,0,0
"295","male",24,7.8958,0,1,7.8958
"297","male",23.5,7.2292,0,1,7.2292
"298","female",2,151.55,0,0,0
"300","female",50,247.5208,1,0,0
"303","male",19,0,0,1,0
"306","male",0.92,151.55,1,1,151.55
"308","female",17,108.9,1,0,0
"309","male",30,24,0,1,24
"310","female",30,56.9292,1,0,0
"311","female",24,83.1583,1,0,0
"312","female",18,262.375,1,0,0
"313","female",26,26,0,0,0
"314","male",28,7.8958,0,1,7.8958
"315","male",43,26.25,0,1,26.25
"316","female",26,7.8542,1,0,0
"317","female",24,26,1,0,0
"318","male",54,14,0,1,14
"319","female",31,164.8667,1,0,0
"320","female",40,134.5,1,0,0
"321","male",22,7.25,0,1,7.25
"322","male",27,7.8958,0,1,7.8958
"323","female",30,12.35,1,0,0
"324","female",22,29,1,0,0
"326","female",36,135.6333,1,0,0
"327","male",61,6.2375,0,1,6.2375
"328","female",36,13,1,0,0
"329","female",31,20.525,1,0,0
"330","female",16,57.9792,1,0,0
"332","male",45.5,28.5,0,1,28.5
"333","male",38,153.4625,0,1,153.4625
"334","male",16,18,0,1,18
"337","male",29,66.6,0,1,66.6
"338","female",41,134.5,1,0,0
"339","male",45,8.05,1,1,8.05
"340","male",45,35.5,0,1,35.5
"341","male",2,26,1,1,26
"342","female",24,263,1,0,0
"343","male",28,13,0,1,13
"344","male",25,13,0,1,13
"345","male",36,13,0,1,13
"346","female",24,13,1,0,0
"347","female",40,13,1,0,0
"349","male",3,15.9,1,1,15.9
"350","male",42,8.6625,0,1,8.6625
"351","male",23,9.225,0,1,9.225
"353","male",15,7.2292,0,1,7.2292
"354","male",25,17.8,0,1,17.8
"356","male",28,9.5,0,1,9.5
"357","female",22,55,1,0,0
"358","female",38,13,0,0,0
"361","male",40,27.9,0,1,27.9
"362","male",29,27.7208,0,1,27.7208
"363","female",45,14.4542,0,0,0
"364","male",35,7.05,0,1,7.05
"366","male",30,7.25,0,1,7.25
"367","female",60,75.25,1,0,0
"370","female",24,69.3,1,0,0
"371","male",25,55.4417,1,1,55.4417
"372","male",18,6.4958,0,1,6.4958
"373","male",19,8.05,0,1,8.05
"374","male",22,135.6333,0,1,135.6333
"375","female",3,21.075,0,0,0
"377","female",22,7.25,1,0,0
"378","male",27,211.5,0,1,211.5
"379","male",20,4.0125,0,1,4.0125
"380","male",19,7.775,0,1,7.775
"381","female",42,227.525,1,0,0
"382","female",1,15.7417,1,0,0
"383","male",32,7.925,0,1,7.925
"384","female",35,52,1,0,0
"386","male",18,73.5,0,1,73.5
"387","male",1,46.9,0,1,46.9
"388","female",36,13,1,0,0
"390","female",17,12,1,0,0
"391","male",36,120,1,1,120
"392","male",21,7.7958,1,1,7.7958
"393","male",28,7.925,0,1,7.925
"394","female",23,113.275,1,0,0
"395","female",24,16.7,1,0,0
"396","male",22,7.7958,0,1,7.7958
"397","female",31,7.8542,0,0,0
"398","male",46,26,0,1,26
"399","male",23,10.5,0,1,10.5
"400","female",28,12.65,1,0,0
"401","male",39,7.925,1,1,7.925
"402","male",26,8.05,0,1,8.05
"403","female",21,9.825,0,0,0
"404","male",28,15.85,0,1,15.85
"405","female",20,8.6625,0,0,0
"406","male",34,21,0,1,21
"407","male",51,7.75,0,1,7.75
"408","male",3,18.75,1,1,18.75
"409","male",21,7.775,0,1,7.775
"413","female",33,90,1,0,0
"415","male",44,7.925,1,1,7.925
"417","female",34,32.5,1,0,0
"418","female",18,13,1,0,0
"419","male",30,13,0,1,13
"420","female",10,24.15,0,0,0
"422","male",21,7.7333,0,1,7.7333
"423","male",29,7.875,0,1,7.875
"424","female",28,14.4,0,0,0
"425","male",18,20.2125,0,1,20.2125
"427","female",28,26,1,0,0
"428","female",19,26,1,0,0
"430","male",32,8.05,1,1,8.05
"431","male",28,26.55,1,1,26.55
"433","female",42,26,1,0,0
"434","male",17,7.125,0,1,7.125
"435","male",50,55.9,0,1,55.9
"436","female",14,120,1,0,0
"437","female",21,34.375,0,0,0
"438","female",24,18.75,1,0,0
"439","male",64,263,0,1,263
"440","male",31,10.5,0,1,10.5
"441","female",45,26.25,1,0,0
"442","male",20,9.5,0,1,9.5
"443","male",25,7.775,0,1,7.775
"444","female",28,13,1,0,0
"446","male",4,81.8583,1,1,81.8583
"447","female",13,19.5,1,0,0
"448","male",34,26.55,1,1,26.55
"449","female",5,19.2583,1,0,0
"450","male",52,30.5,1,1,30.5
"451","male",36,27.75,0,1,27.75
"453","male",30,27.75,0,1,27.75
"454","male",49,89.1042,1,1,89.1042
"456","male",29,7.8958,1,1,7.8958
"457","male",65,26.55,0,1,26.55
"459","female",50,10.5,1,0,0
"461","male",48,26.55,1,1,26.55
"462","male",34,8.05,0,1,8.05
"463","male",47,38.5,0,1,38.5
"464","male",48,13,0,1,13
"466","male",38,7.05,0,1,7.05
"468","male",56,26.55,0,1,26.55
"470","female",0.75,19.2583,1,0,0
"472","male",38,8.6625,0,1,8.6625
"473","female",33,27.75,1,0,0
"474","female",23,13.7917,1,0,0
"475","female",22,9.8375,0,0,0
"477","male",34,21,0,1,21
"478","male",29,7.0458,0,1,7.0458
"479","male",22,7.5208,0,1,7.5208
"480","female",2,12.2875,1,0,0
"481","male",9,46.9,0,1,46.9
"483","male",50,8.05,0,1,8.05
"484","female",63,9.5875,1,0,0
"485","male",25,91.0792,1,1,91.0792
"487","female",35,90,1,0,0
"488","male",58,29.7,0,1,29.7
"489","male",30,8.05,0,1,8.05
"490","male",9,15.9,1,1,15.9
"492","male",21,7.25,0,1,7.25
"493","male",55,30.5,0,1,30.5
"494","male",71,49.5042,0,1,49.5042
"495","male",21,8.05,0,1,8.05
"497","female",54,78.2667,1,0,0
"499","female",25,151.55,0,0,0
"500","male",24,7.7958,0,1,7.7958
"501","male",17,8.6625,0,1,8.6625
"502","female",21,7.75,0,0,0
"504","female",37,9.5875,0,0,0
"505","female",16,86.5,1,0,0
"506","male",18,108.9,0,1,108.9
"507","female",33,26,1,0,0
"509","male",28,22.525,0,1,22.525
"510","male",26,56.4958,1,1,56.4958
"511","male",29,7.75,1,1,7.75
"513","male",36,26.2875,1,1,26.2875
"514","female",54,59.4,1,0,0
"515","male",24,7.4958,0,1,7.4958
"516","male",47,34.0208,0,1,34.0208
"517","female",34,10.5,1,0,0
"519","female",36,26,1,0,0
"520","male",32,7.8958,0,1,7.8958
"521","female",30,93.5,1,0,0
"522","male",22,7.8958,0,1,7.8958
"524","female",44,57.9792,1,0,0
"526","male",40.5,7.75,0,1,7.75
"527","female",50,10.5,1,0,0
"529","male",39,7.925,0,1,7.925
"530","male",23,11.5,0,1,11.5
"531","female",2,26,1,0,0
"533","male",17,7.2292,0,1,7.2292
"535","female",30,8.6625,0,0,0
"536","female",7,26.25,1,0,0
"537","male",45,26.55,0,1,26.55
"538","female",30,106.425,1,0,0
"540","female",22,49.5,1,0,0
"541","female",36,71,1,0,0
"542","female",9,31.275,0,0,0
"543","female",11,31.275,0,0,0
"544","male",32,26,1,1,26
"545","male",50,106.425,0,1,106.425
"546","male",64,26,0,1,26
"547","female",19,26,1,0,0
"549","male",33,20.525,0,1,20.525
"550","male",8,36.75,1,1,36.75
"551","male",17,110.8833,1,1,110.8833
"552","male",27,26,0,1,26
"554","male",22,7.225,1,1,7.225
"555","female",22,7.775,1,0,0
"556","male",62,26.55,0,1,26.55
"557","female",48,39.6,1,0,0
"559","female",39,79.65,1,0,0
"560","female",36,17.4,1,0,0
"562","male",40,7.8958,0,1,7.8958
"563","male",28,13.5,0,1,13.5
"566","male",24,24.15,0,1,24.15
"567","male",19,7.8958,0,1,7.8958
"568","female",29,21.075,0,0,0
"570","male",32,7.8542,1,1,7.8542
"571","male",62,10.5,1,1,10.5
"572","female",53,51.4792,1,0,0
"573","male",36,26.3875,1,1,26.3875
"575","male",16,8.05,0,1,8.05
"576","male",19,14.5,0,1,14.5
"577","female",34,13,1,0,0
"578","female",39,55.9,1,0,0
"580","male",32,7.925,1,1,7.925
"581","female",25,30,1,0,0
"582","female",39,110.8833,1,0,0
"583","male",54,26,0,1,26
"584","male",36,40.125,0,1,40.125
"586","female",18,79.65,1,0,0
"587","male",47,15,0,1,15
"588","male",60,79.2,1,1,79.2
"589","male",22,8.05,0,1,8.05
"591","male",35,7.125,0,1,7.125
"592","female",52,78.2667,1,0,0
"593","male",47,7.25,0,1,7.25
"595","male",37,26,0,1,26
"596","male",36,24.15,0,1,24.15
"598","male",49,0,0,1,0
"600","male",49,56.9292,1,1,56.9292
"601","female",24,27,1,0,0
"604","male",44,8.05,0,1,8.05
"605","male",35,26.55,1,1,26.55
"606","male",36,15.55,0,1,15.55
"607","male",30,7.8958,0,1,7.8958
"608","male",27,30.5,1,1,30.5
"609","female",22,41.5792,1,0,0
"610","female",40,153.4625,1,0,0
"611","female",39,31.275,0,0,0
"615","male",35,8.05,0,1,8.05
"616","female",24,65,1,0,0
"617","male",34,14.4,0,1,14.4
"618","female",26,16.1,0,0,0
"619","female",4,39,1,0,0
"620","male",26,10.5,0,1,10.5
"621","male",27,14.4542,0,1,14.4542
"622","male",42,52.5542,1,1,52.5542
"623","male",20,15.7417,1,1,15.7417
"624","male",21,7.8542,0,1,7.8542
"625","male",21,16.1,0,1,16.1
"626","male",61,32.3208,0,1,32.3208
"627","male",57,12.35,0,1,12.35
"628","female",21,77.9583,1,0,0
"629","male",26,7.8958,0,1,7.8958
"631","male",80,30,1,1,30
"632","male",51,7.0542,0,1,7.0542
"633","male",32,30.5,1,1,30.5
"635","female",9,27.9,0,0,0
"636","female",28,13,1,0,0
"637","male",32,7.925,0,1,7.925
"638","male",31,26.25,0,1,26.25
"639","female",41,39.6875,0,0,0
"641","male",20,7.8542,0,1,7.8542
"642","female",24,69.3,1,0,0
"643","female",2,27.9,0,0,0
"645","female",0.75,19.2583,1,0,0
"646","male",48,76.7292,1,1,76.7292
"647","male",19,7.8958,0,1,7.8958
"648","male",56,35.5,1,1,35.5
"650","female",23,7.55,1,0,0
"652","female",18,23,1,0,0
"653","male",21,8.4333,0,1,8.4333
"655","female",18,6.75,0,0,0
"656","male",24,73.5,0,1,73.5
"658","female",32,15.5,0,0,0
"659","male",23,13,0,1,13
"660","male",58,113.275,0,1,113.275
"661","male",50,133.65,1,1,133.65
"662","male",40,7.225,0,1,7.225
"663","male",47,25.5875,0,1,25.5875
"664","male",36,7.4958,0,1,7.4958
"665","male",20,7.925,1,1,7.925
"666","male",32,73.5,0,1,73.5
"667","male",25,13,0,1,13
"669","male",43,8.05,0,1,8.05
"671","female",40,39,1,0,0
"672","male",31,52,0,1,52
"673","male",70,10.5,0,1,10.5
"674","male",31,13,1,1,13
"676","male",18,7.775,0,1,7.775
"677","male",24.5,8.05,0,1,8.05
"678","female",18,9.8417,1,0,0
"679","female",43,46.9,0,0,0
"680","male",36,512.3292,1,1,512.3292
"682","male",27,76.7292,1,1,76.7292
"683","male",20,9.225,0,1,9.225
"684","male",14,46.9,0,1,46.9
"685","male",60,39,0,1,39
"686","male",25,41.5792,0,1,41.5792
"687","male",14,39.6875,0,1,39.6875
"688","male",19,10.1708,0,1,10.1708
"689","male",18,7.7958,0,1,7.7958
"690","female",15,211.3375,1,0,0
"691","male",31,57,1,1,57
"692","female",4,13.4167,1,0,0
"694","male",25,7.225,0,1,7.225
"695","male",60,26.55,0,1,26.55
"696","male",52,13.5,0,1,13.5
"697","male",44,8.05,0,1,8.05
"699","male",49,110.8833,0,1,110.8833
"700","male",42,7.65,0,1,7.65
"701","female",18,227.525,1,0,0
"702","male",35,26.2875,1,1,26.2875
"703","female",18,14.4542,0,0,0
"704","male",25,7.7417,0,1,7.7417
"705","male",26,7.8542,0,1,7.8542
"706","male",39,26,0,1,26
"707","female",45,13.5,1,0,0
"708","male",42,26.2875,1,1,26.2875
"709","female",22,151.55,1,0,0
"711","female",24,49.5042,1,0,0
"713","male",48,52,1,1,52
"714","male",29,9.4833,0,1,9.4833
"715","male",52,13,0,1,13
"716","male",19,7.65,0,1,7.65
"717","female",38,227.525,1,0,0
"718","female",27,10.5,1,0,0
"720","male",33,7.775,0,1,7.775
"721","female",6,33,1,0,0
"722","male",17,7.0542,0,1,7.0542
"723","male",34,13,0,1,13
"724","male",50,13,0,1,13
"725","male",27,53.1,1,1,53.1
"726","male",20,8.6625,0,1,8.6625
"727","female",30,21,1,0,0
"729","male",25,26,0,1,26
"730","female",25,7.925,0,0,0
"731","female",29,211.3375,1,0,0
"732","male",11,18.7875,0,1,18.7875
"734","male",23,13,0,1,13
"735","male",23,13,0,1,13
"736","male",28.5,16.1,0,1,16.1
"737","female",48,34.375,0,0,0
"738","male",35,512.3292,1,1,512.3292
"742","male",36,78.85,0,1,78.85
"743","female",21,262.375,1,0,0
"744","male",24,16.1,0,1,16.1
"745","male",31,7.925,1,1,7.925
"746","male",70,71,0,1,71
"747","male",16,20.25,0,1,20.25
"748","female",30,13,1,0,0
"749","male",19,53.1,0,1,53.1
"750","male",31,7.75,0,1,7.75
"751","female",4,23,1,0,0
"752","male",6,12.475,1,1,12.475
"753","male",33,9.5,0,1,9.5
"754","male",23,7.8958,0,1,7.8958
"755","female",48,65,1,0,0
"756","male",0.67,14.5,1,1,14.5
"757","male",28,7.7958,0,1,7.7958
"758","male",18,11.5,0,1,11.5
"759","male",34,8.05,0,1,8.05
"760","female",33,86.5,1,0,0
"762","male",41,7.125,0,1,7.125
"763","male",20,7.2292,1,1,7.2292
"764","female",36,120,1,0,0
"765","male",16,7.775,0,1,7.775
"766","female",51,77.9583,1,0,0
"768","female",30.5,7.75,0,0,0
"770","male",32,8.3625,0,1,8.3625
"771","male",24,9.5,0,1,9.5
"772","male",48,7.8542,0,1,7.8542
"773","female",57,10.5,0,0,0
"775","female",54,23,1,0,0
"776","male",18,7.75,0,1,7.75
"778","female",5,12.475,1,0,0
"780","female",43,211.3375,1,0,0
"781","female",13,7.2292,1,0,0
"782","female",17,57,1,0,0
"783","male",29,30,0,1,30
"785","male",25,7.05,0,1,7.05
"786","male",25,7.25,0,1,7.25
"787","female",18,7.4958,1,0,0
"788","male",8,29.125,0,1,29.125
"789","male",1,20.575,1,1,20.575
"790","male",46,79.2,0,1,79.2
"792","male",16,26,0,1,26
"795","male",25,7.8958,0,1,7.8958
"796","male",39,13,0,1,13
"797","female",49,25.9292,1,0,0
"798","female",31,8.6833,1,0,0
"799","male",30,7.2292,0,1,7.2292
"800","female",30,24.15,0,0,0
"801","male",34,13,0,1,13
"802","female",31,26.25,1,0,0
"803","male",11,120,1,1,120
"804","male",0.42,8.5167,1,1,8.5167
"805","male",27,6.975,1,1,6.975
"806","male",31,7.775,0,1,7.775
"807","male",39,0,0,1,0
"808","female",18,7.775,0,0,0
"809","male",39,13,0,1,13
"810","female",33,53.1,1,0,0
"811","male",26,7.8875,0,1,7.8875
"812","male",39,24.15,0,1,24.15
"813","male",35,10.5,0,1,10.5
"814","female",6,31.275,0,0,0
"815","male",30.5,8.05,0,1,8.05
"817","female",23,7.925,0,0,0
"818","male",31,37.0042,0,1,37.0042
"819","male",43,6.45,0,1,6.45
"820","male",10,27.9,0,1,27.9
"821","female",52,93.5,1,0,0
"822","male",27,8.6625,1,1,8.6625
"823","male",38,0,0,1,0
"824","female",27,12.475,1,0,0
"825","male",2,39.6875,0,1,39.6875
"828","male",1,37.0042,1,1,37.0042
"830","female",62,80,1,0,0
"831","female",15,14.4542,1,0,0
"832","male",0.83,18.75,1,1,18.75
"834","male",23,7.8542,0,1,7.8542
"835","male",18,8.3,0,1,8.3
"836","female",39,83.1583,1,0,0
"837","male",21,8.6625,0,1,8.6625
"839","male",32,56.4958,1,1,56.4958
"841","male",20,7.925,0,1,7.925
"842","male",16,10.5,0,1,10.5
"843","female",30,31,1,0,0
"844","male",34.5,6.4375,0,1,6.4375
"845","male",17,8.6625,0,1,8.6625
"846","male",42,7.55,0,1,7.55
"848","male",35,7.8958,0,1,7.8958
"849","male",28,33,0,1,33
"851","male",4,31.275,0,1,31.275
"852","male",74,7.775,0,1,7.775
"853","female",9,15.2458,0,0,0
"854","female",16,39.4,1,0,0
"855","female",44,26,0,0,0
"856","female",18,9.35,1,0,0
"857","female",45,164.8667,1,0,0
"858","male",51,26.55,1,1,26.55
"859","female",24,19.2583,1,0,0
"861","male",41,14.1083,0,1,14.1083
"862","male",21,11.5,0,1,11.5
"863","female",48,25.9292,1,0,0
"865","male",24,13,0,1,13
"866","female",42,13,1,0,0
"867","female",27,13.8583,1,0,0
"868","male",31,50.4958,0,1,50.4958
"870","male",4,11.1333,1,1,11.1333
"871","male",26,7.8958,0,1,7.8958
"872","female",47,52.5542,1,0,0
"873","male",33,5,0,1,5
"874","male",47,9,0,1,9
"875","female",28,24,1,0,0
"876","female",15,7.225,1,0,0
"877","male",20,9.8458,0,1,9.8458
"878","male",19,7.8958,0,1,7.8958
"880","female",56,83.1583,1,0,0
"881","female",25,26,1,0,0
"882","male",33,7.8958,0,1,7.8958
"883","female",22,10.5167,0,0,0
"884","male",28,10.5,0,1,10.5
"885","male",25,7.05,0,1,7.05
"886","female",39,29.125,0,0,0
"887","male",27,13,0,1,13
"888","female",19,30,1,0,0
"890","male",26,30,1,1,30
"891","male",32,7.75,0,1,7.75
